image,resolution,number_of_pixels,compression_rate,number_of_pixel_groups,threads,time
0,4096x4096,16777216,low,4194304,1,22.3894
0,4096x4096,16777216,medium,1048576,1,12.3718
0,4096x4096,16777216,high,262144,1,8.25034
0,4096x4096,16777216,very_high,65536,1,6.98542
1,1920x1280,2457600,low,614400,1,2.98076
1,1920x1280,2457600,medium,153600,1,1.69855
1,1920x1280,2457600,high,38400,1,1.18863
1,1920x1280,2457600,very_high,9600,1,0.972425
2,2400x3600,8640000,low,2160000,1,10.8878
2,2400x3600,8640000,medium,540000,1,6.0526
2,2400x3600,8640000,high,135000,1,4.35787
2,2400x3600,8640000,very_high,33750,1,3.5918
3,1920x2880,5529600,low,1382400,1,7.22822
3,1920x2880,5529600,medium,345600,1,4.16362
3,1920x2880,5529600,high,86400,1,2.69162
3,1920x2880,5529600,very_high,21600,1,2.29545
4,640x960,614400,low,153600,1,0.76172
4,640x960,614400,medium,38400,1,0.435014
4,640x960,614400,high,9600,1,0.311878
4,640x960,614400,very_high,2400,1,0.260122
